분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
자원관리관련제조업,생물다양성및바이오관련제조업,매출액,억원,원자료,0,"39,705.62","13,230.96","3,986.7","24,046.99","28,035.83","28,902","23,436.85","28,016.95"
자원관리관련제조업,생물다양성및바이오관련제조업,환경부문 매출액,억원,원자료,0,"5,965.37","3,895.34",548.77,"8,772.81","1,987.28","2,153.56","4,167.87","2,984"
자원관리관련건설업,소계,매출액,억원,원자료,0,"239,519.9","249,380.03","403,172.94","412,921.62","452,940.14","403,125.92","365,737.05","397,673.88"
자원관리관련건설업,소계,환경부문 매출액,억원,원자료,0,"24,153.18","43,644.06","57,332.27","52,473.26","62,993.37","56,115.78","50,411.48","56,419.13"
자원관리관련건설업,폐자원에너지화관련시설건설업,매출액,억원,원자료,0,"173,360.84","55,268.22","150,198.21","151,156.49","144,168.9","121,942.1","115,358.13","117,491.05"
자원관리관련건설업,폐자원에너지화관련시설건설업,환경부문 매출액,억원,원자료,0,"4,051.75","10,523.95","10,979.78","10,989.24","11,152.58","10,873.76","10,873.72","11,034.15"
자원관리관련건설업,기후변화대응건설업,매출액,억원,원자료,0,"5,338.2","9,594.99","7,488.37","7,639.96","10,231.64","10,129.89","10,139.96","10,209.4"
자원관리관련건설업,기후변화대응건설업,환경부문 매출액,억원,원자료,0,"3,964.44","1,938.81","2,384.89","2,416.64","2,565.73","2,532.36","2,549.46","2,584.61"
자원관리관련건설업,열/에너지절약및회수관련건설업,매출액,억원,원자료,0,"34,029.08","157,967.05","163,268.07","170,936.41","158,601.75","136,711.32","132,883.62","131,561.43"
자원관리관련건설업,열/에너지절약및회수관련건설업,환경부문 매출액,억원,원자료,0,"9,910.78","15,952.48","21,945.4","22,918.29","22,650.3","22,831.5","23,014.35","22,680.28"
자원관리관련건설업,생물자원관리보전관련건설업,매출액,억원,원자료,0,959.68,660.12,"7,369.85","8,057.61","6,284.49","4,248.73","4,273.88","4,306.83"
