분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
환경안전보건,"환경안전보건 관련 분석, 자료수집 및 평가 서비스업",환경부문 투자액,억원,원자료,134.3,156.17,24.7,25.93,26,23.65,24.61,25.64,25.26
지속가능 환경자원,소계,투자액,억원,원자료,119.75,"83,050.27","190,959.83","57,054.24","57,812.51","58,379.76","57,188.99","56,273.83","56,438.78"
지속가능 환경자원,소계,환경부문 투자액,억원,원자료,117.58,"10,118.63","11,261.03","12,173.3","12,296.71","12,311.19","11,956.88","11,622.75","11,685.82"
지속가능 환경자원,열/에너지 절약 및 회수 기기 제조업,투자액,억원,원자료,0,"21,745.13","180,377.5","21,838.61","22,095.09","22,095.25","23,338.59","24,648.08","24,244.09"
지속가능 환경자원,열/에너지 절약 및 회수 기기 제조업,환경부문 투자액,억원,원자료,0,"1,929.23","1,854.27","1,878.65","1,896.22","1,923.49","1,823.54","1,728.96","1,740.95"
지속가능 환경자원,열/에너지 절약 및 회수 관련 건설업,투자액,억원,원자료,0,531.24,383.23,697.74,711.27,721.23,644.74,576.36,558.26
지속가능 환경자원,열/에너지 절약 및 회수 관련 건설업,환경부문 투자액,억원,원자료,0,360.23,108.52,304.44,306.74,312.52,325.67,339.31,339.19
지속가능 환경자원,열/에너지 절약 및 회수 관련 서비스업,투자액,억원,원자료,0,"3,604.29",671.81,692.54,731.8,741.8,807.19,877.87,887.12
지속가능 환경자원,열/에너지 절약 및 회수 관련 서비스업,환경부문 투자액,억원,원자료,0,"1,305.89",504.77,491.87,516.83,512.34,529.09,546.47,543.05
지속가능 환경자원,생물자원 관리보전기기 제조업,투자액,억원,원자료,0,84.85,95.31,97.38,99.68,100.18,115.12,132.36,129.35
지속가능 환경자원,생물자원 관리보전기기 제조업,환경부문 투자액,억원,원자료,0,77.28,81.79,82.7,83.54,81.23,88.56,96.54,95.18
지속가능 환경자원,생물자원 관리보전 관련 건설업,투자액,억원,원자료,0,38.87,2.36,33.11,35.39,37.4,38.32,39.32,40.15
지속가능 환경자원,생물자원 관리보전 관련 건설업,환경부문 투자액,억원,원자료,0,38.12,2.36,31.96,33.76,36.31,34.98,33.65,34.19
지속가능 환경자원,생물자원 관리보전 관련 서비스업,투자액,억원,원자료,119.75,15.08,434.04,474.62,516.34,526.34,545.3,565.15,566.22
지속가능 환경자원,생물자원 관리보전 관련 서비스업,환경부문 투자액,억원,원자료,117.58,14.91,392.37,396.38,430.97,425.23,411.43,398.35,399.4
지속가능 환경자원,산림 관리 기기 제조업,투자액,억원,원자료,0,985.57,86.9,867.08,887.6,897.56,807.81,727.1,702.58
지속가능 환경자원,산림 관리 기기 제조업,환경부문 투자액,억원,원자료,0,558.98,86.21,627.13,635.97,641.25,625.54,610.17,604.07
지속가능 환경자원,산림 관리 관련 건설업,투자액,억원,원자료,0,"3,938.94",162.65,330.7,339.57,348.68,376.25,405.67,402.13
지속가능 환경자원,산림 관리 관련 건설업,환경부문 투자액,억원,원자료,0,138.41,159.69,219.85,223.87,235.32,227.31,219.81,218.4
지속가능 환경자원,산림 관리 관련 서비스업,투자액,억원,원자료,0,"20,646.12",250.61,256.84,259.47,268.53,252.84,238.07,240.3
지속가능 환경자원,산림 관리 관련 서비스업,환경부문 투자액,억원,원자료,0,220.56,197.69,192.14,193.13,188.52,204.45,221.93,225.22
지속가능 환경자원,산림 관리 및 유지 서비스업,투자액,억원,원자료,0,3.9,32.33,59.42,54.83,55.63,61.27,67.49,68.15
지속가능 환경자원,산림 관리 및 유지 서비스업,환경부문 투자액,억원,원자료,0,2.58,32.31,40.95,37.61,38.92,42.64,46.71,47.25
지속가능 환경자원,생물다양성 및 경관 보호기기 제조업,투자액,억원,원자료,0,309.19,86.76,93.57,96.17,98.15,94.03,90.08,89.21
지속가능 환경자원,생물다양성 및 경관 보호기기 제조업,환경부문 투자액,억원,원자료,0,309.19,66.22,66.5,67.91,69.28,64.35,59.77,59.23
지속가능 환경자원,생물다양성 및 경관 보호 관련 서비스업,투자액,억원,원자료,0,438.5,263.48,295.92,308.53,321.54,317.46,313.44,312.19
지속가능 환경자원,생물다양성 및 경관 보호 관련 서비스업,환경부문 투자액,억원,원자료,0,391.9,262.55,274.18,284.54,292.35,272.04,253.16,251.23
지속가능 환경자원,생물다양성 및 경관 보호 관련 건설업,투자액,억원,원자료,0,9.35,31.3,286.51,289.87,301.57,252.54,211.44,215.92
지속가능 환경자원,생물다양성 및 경관 보호 관련 건설업,환경부문 투자액,억원,원자료,0,0.53,22.25,54.01,54.27,52.31,51.36,50.45,51.91
지속가능 환경자원,생물다양성 및 바이오관련 생산업·제조업·서비스업(생물종자·종묘산업),투자액,억원,원자료,0,"30,591.41","8,081.55","30,951.24","31,311.64","31,789.69","29,457.51","27,297.3","27,899.45"
지속가능 환경자원,생물다양성 및 바이오관련 생산업·제조업·서비스업(생물종자·종묘산업),환경부문 투자액,억원,원자료,0,"4,678.35","7,490.03","7,452.84","7,475.08","7,449.67","7,203.33","6,964.79","7,024.91"
지속가능 환경자원,"지속가능 환경자원 관련 분석, 자료수집 및 평가 서비스업",투자액,억원,원자료,0,107.83,0,78.96,75.24,76.19,80.02,84.11,83.66
지속가능 환경자원,"지속가능 환경자원 관련 분석, 자료수집 및 평가 서비스업",환경부문 투자액,억원,원자료,0,92.47,0,59.7,56.27,52.44,52.58,52.68,51.65
환경 지식·정보·감시,소계,투자액,억원,원자료,"10,863.3","26,039.7","49,257.34","55,451.67","51,293.92","50,563.34","52,789.89","54,505.92","55,086.62"
환경 지식·정보·감시,소계,환경부문 투자액,억원,원자료,"2,580.73","2,710.03","5,723.03","6,749.08","6,315.89","6,100.65","6,272.34","6,352.09","6,454.55"
환경 지식·정보·감시,"환경감시, 분석 및 측정장치 제조업",투자액,억원,원자료,"1,780.11",632.35,"1,394.96",568.96,541.38,583.56,610.95,661.44,639.15
환경 지식·정보·감시,"환경감시, 분석 및 측정장치 제조업",환경부문 투자액,억원,원자료,"1,035.07",503.15,369.39,441.77,417.33,452.36,453.52,454.68,446.14
환경 지식·정보·감시,환경연구개발 관련 서비스업,투자액,억원,원자료,"3,431.92","3,251.14","47,029.29","52,699.64","48,563.22","47,850.53","50,058.56","51,728.47","52,330.93"
환경 지식·정보·감시,환경연구개발 관련 서비스업,환경부문 투자액,억원,원자료,430.7,82.32,"4,674.99","4,733.02","4,331.03","4,202.6","4,378.63","4,462.04","4,547.34"
환경 지식·정보·감시,환경관련 계약 및 엔지니어링 서비스업,투자액,억원,원자료,"2,234.97","15,820.17",692.2,736.41,772.9,834.56,878.21,924.17,937.98
환경 지식·정보·감시,환경관련 계약 및 엔지니어링 서비스업,환경부문 투자액,억원,원자료,770.45,100.91,574.66,563.38,589.11,613.34,624.57,636.15,658.01
환경 지식·정보·감시,"법무, 교육 서비스업",투자액,억원,원자료,0,"2,894.23",10.93,244.92,224.41,0,0,0,0
환경 지식·정보·감시,"법무, 교육 서비스업",환경부문 투자액,억원,원자료,0,0.08,10.65,229.78,209.53,0,0,0,0
환경 지식·정보·감시,"환경 지식·정보·감시 관련 분석, 자료수집 및 평가 서비스업",투자액,억원,원자료,"3,416.3","3,441.81",129.96,"1,201.74","1,192.01","1,294.69","1,242.17","1,191.85","1,178.56"
환경 지식·정보·감시,"환경 지식·정보·감시 관련 분석, 자료수집 및 평가 서비스업",환경부문 투자액,억원,원자료,344.51,"2,023.57",93.34,781.13,768.9,832.35,815.62,799.22,803.06
