통계명,분류명,항목,자료구분,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"회계별 세입/세출 결산 현황","환경개선특별회계","(세출)불용액","원자료","16,516,795","36,078,243","17,819,260","11,173,904","265,031,746","249,189,979","489,039,526","297,839,182","110,378,942","40,241,563","28,635,994","75,903,260","110,663,609","61,495,341","234,651,628",0,0
"회계별 세입 결산 현황","환경개선특별회계","세입예산액","원자료","2,896,672,000","3,130,911,688","4,117,170,682","3,965,057,381","4,271,463,911","4,363,959,000","4,825,012,557","4,877,040,139","5,126,714,000","5,034,981,808","5,031,200,204","4,793,967,025","5,807,508,000","6,523,079,000","7,548,495,000",0,0
"회계별 세입 결산 현황","환경개선특별회계","이체등증감액","원자료",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"회계별 세입 결산 현황","환경개선특별회계","세입예산현액","원자료","2,896,672,000","3,130,911,688","4,117,170,682","3,965,057,381","4,271,463,911","4,363,959,000","4,825,012,557","4,877,040,139","5,126,714,000","5,034,981,808","5,031,200,204","4,793,967,025","5,807,508,000","6,523,079,000","7,548,495,000",0,0
"회계별 세입 결산 현황","환경개선특별회계","징수결정액","원자료","3,727,999,695","3,835,983,832","4,877,904,710","4,863,329,883","5,366,954,583","5,176,847,236","5,386,313,844","5,770,159,837","6,500,003,040","6,592,691,352","6,245,623,989","6,034,077,109","6,908,515,606","7,889,819,996","8,300,939,207",0,0
"회계별 세입 결산 현황","환경개선특별회계","수납금액","원자료","2,921,671,977","3,031,707,309","4,002,665,278","3,962,969,320","4,396,991,192","4,183,856,416","4,384,577,260","4,776,596,023","5,463,199,844","5,593,589,601","5,305,575,422","5,129,651,323","6,027,980,258","7,029,409,957","7,499,150,309",0,0
"회계별 세입 결산 현황","환경개선특별회계","불납결손액","원자료","11,942,710","10,634,557","24,311,093","23,453,896","19,888,667","32,452,049","26,623,155","33,632,663","45,357,073","54,868,489","42,930,489","47,486,074","21,467,536","88,142,398","29,757,800",0,0
"회계별 세입 결산 현황","환경개선특별회계","미수납액","원자료","794,385,008","793,641,966","850,928,339","876,906,668","950,074,724","960,538,771","975,113,429","959,931,151","991,446,123","944,233,262","897,118,078","856,939,713","859,067,813","772,267,641","772,031,099",0,0
"회계별 세출 결산 현황","환경개선특별회계","세출예산액","원자료","2,896,672,000","3,130,911,688","4,117,170,682","3,965,057,381","4,271,463,911","4,363,959,000","4,825,012,557","4,877,040,139","5,126,714,000","5,034,981,808","5,031,200,204","4,793,967,025","5,807,508,000","6,523,079,000","15,096,990,000",0,0
"회계별 세출 결산 현황","환경개선특별회계","전년도이월액","원자료","30,228,870","26,818,074","99,299,019","216,570,459","250,074,434","160,628,219","125,112,299","144,038,440","88,468,254","63,570,804","118,623,282","107,889,783","66,531,903","85,257,903","226,971,113",0,0
"회계별 세출 결산 현황","환경개선특별회계","초과지출승인액","원자료","63,387",0,"258,910",0,"1,012,488","2,111,000","210,000",0,0,"337,041","616,680","215,447","233,394",0,"283,160",0,0
"회계별 세출 결산 현황","환경개선특별회계","예비비지출결정증액","원자료",0,"2,663,000","8,030,578","6,697,955","269,694,000","19,356,617","5,064,688",0,0,"31,500,000",0,"9,988,000","54,275,968","174,634,000","37,788,000",0,0
"회계별 세출 결산 현황","환경개선특별회계","예비비지출결정감액","원자료",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"회계별 세출 결산 현황","환경개선특별회계","전용증액","원자료","12,005,354","21,618,386","10,406,985","18,282,786","39,662,366","12,720,407","4,185,313","15,284,045","15,945,009","15,634,606","17,367,699","14,177,750","47,538,831","46,802,073","65,810,308",0,0
"회계별 세출 결산 현황","환경개선특별회계","전용감액","원자료","-12,005,354","-21,618,386","-10,406,985","-18,282,786","-39,662,366","-12,720,407","-4,185,313","-15,284,045","-15,945,009","-15,634,606","-17,367,699","-14,177,750","-47,538,831","-46,802,073","-65,810,308",0,0
"회계별 세출 결산 현황","환경개선특별회계","이용및이체증액","원자료","2,268,237","3,235,528","5,171,577","4,489,811","9,485,519","846,316",0,0,0,"11,905,723","23,055,190","4,597,835","10,011,883","82,742,282","55,959,322",0,0
"회계별 세출 결산 현황","환경개선특별회계","이용및이체감액","원자료","-2,268,237","-3,235,528","-5,171,577","-2,689,811","-9,485,519","-846,316",0,0,0,"-11,905,723","-23,055,190","-4,597,835","-10,011,883","-82,742,282","-55,959,322",0,0
"회계별 세출 결산 현황","환경개선특별회계","세출예산현액","원자료","2,926,964,257","3,160,392,762","4,224,759,189","4,190,125,795","4,792,244,833","4,546,054,836","4,955,399,544","5,021,078,579","5,215,182,254","5,130,389,653","5,150,440,166","4,912,060,255","5,928,549,265","6,782,970,903","15,362,032,273",0,0
"회계별 세출 결산 현황","환경개선특별회계","지출금액","원자료","2,883,629,388","3,025,015,500","3,990,274,470","3,928,877,457","4,366,584,869","4,171,752,557","4,322,321,578","4,634,771,144","5,041,232,507","4,971,524,809","5,013,914,389","4,769,625,092","5,732,627,753","6,607,990,006","14,425,806,780",0,0
"회계별 세출 결산 현황","환경개선특별회계","다음년도이월액","원자료","26,818,074","99,299,019","216,665,459","250,074,434","160,628,219","125,112,299","144,038,440","88,468,254","63,570,804","118,623,282","107,889,783","66,531,903","85,257,903","113,485,556","466,922,236",0,0
"회계별 세출 결산 현황","환경개선특별회계","불용액","원자료","16,516,795","36,078,243","17,819,260","11,173,904","265,031,746","249,189,979","489,039,526","297,839,182","110,378,942","40,241,563","28,635,994","75,903,260","110,663,609","61,495,341","469,303,256",0,0
