분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
오염관리관련서비스업,환경보건대응서비스업,환경부문 투자액,억원,원자료,0,390.11,153.19,175.47,166.79,172.35,179.34,186.58,191.16
오염관리관련서비스업,"환경안전보건관련분석,자료수집및평가서비스업",투자액,억원,원자료,0,183.63,31.33,109.6,110.19,115.2,121.83,128.9,125.59
오염관리관련서비스업,"환경안전보건관련분석,자료수집및평가서비스업",환경부문 투자액,억원,원자료,0,156.17,24.7,25.93,26,23.65,24.61,25.64,25.26
오염관리관련서비스업,"지속가능환경자원관련분석,자료수집및평가서비스업",투자액,억원,원자료,0,107.83,0,78.96,75.24,76.19,80.02,84.11,83.66
오염관리관련서비스업,"지속가능환경자원관련분석,자료수집및평가서비스업",환경부문 투자액,억원,원자료,0,92.47,0,59.7,56.27,52.44,52.58,52.68,51.65
오염관리관련서비스업,환경연구개발관련서비스업,투자액,억원,원자료,"3,431.92","3,251.14","47,029.29","52,699.63","48,563.22","47,850.53","50,058.56","51,728.47","52,330.93"
오염관리관련서비스업,환경연구개발관련서비스업,환경부문 투자액,억원,원자료,430.7,82.32,"4,674.99","4,733.03","4,331.03","4,202.6","4,378.63","4,462.04","4,547.34"
오염관리관련서비스업,환경관련계약및엔지니어링서비스업,투자액,억원,원자료,"1,393.63","15,820.17",692.2,736.41,772.9,834.56,878.21,924.17,937.98
오염관리관련서비스업,환경관련계약및엔지니어링서비스업,환경부문 투자액,억원,원자료,512.55,100.91,574.66,563.38,589.11,613.34,624.57,636.15,658.01
오염관리관련서비스업,"법무,교육서비스업",투자액,억원,원자료,0,"2,894.23",10.93,244.92,224.41,0,0,0,0
오염관리관련서비스업,"법무,교육서비스업",환경부문 투자액,억원,원자료,0,0.08,10.65,229.78,209.53,0,0,0,0
오염관리관련서비스업,"환경지식정보감시관련분석,자료수집및평가서비스업",투자액,억원,원자료,"5,062.17","3,441.81",129.96,"1,201.74","1,192.01","1,294.69","1,242.17","1,191.85","1,178.56"
오염관리관련서비스업,"환경지식정보감시관련분석,자료수집및평가서비스업",환경부문 투자액,억원,원자료,990.38,"2,023.57",93.34,781.13,768.9,832.35,815.62,799.22,803.06
자원관리관련제조업,소계,투자액,억원,원자료,"48,684.73","29,038.89","29,542.63","17,698.85","22,590.29","19,382.98","18,957.12","18,676.83","19,029.8"
자원관리관련제조업,소계,환경부문 투자액,억원,원자료,"8,831.08","10,913.13","8,184.86","9,102.02","9,198.85","10,003.71","9,613.18","9,382.83","9,802.74"
자원관리관련제조업,폐자원에너지화기기제조업,투자액,억원,원자료,"3,461.32","1,318.38",254.77,550.08,516.94,558.26,576.34,594.79,609.28
자원관리관련제조업,폐자원에너지화기기제조업,환경부문 투자액,억원,원자료,"2,809.6",520.94,190.41,163.04,152.22,139.21,142.64,146.23,156.58
자원관리관련제조업,재생용가공원료및재활용제품제조업,투자액,억원,원자료,"33,946.25","17,389.22","10,327.95","9,855.72","9,005.68","9,754.77","9,169.92","8,679.97","8,981.58"
자원관리관련제조업,재생용가공원료및재활용제품제조업,환경부문 투자액,억원,원자료,"2,290.9","4,633.69","4,674.19","4,426.81","4,074.51","4,274.51","4,387.24","4,503.3","4,595.42"
자원관리관련제조업,수도사업관련업,투자액,억원,원자료,"11,277.16","5,356.9","17,741.08","5,378.91","5,688.16","5,776.84","5,959.55","6,148.24","6,289"
자원관리관련제조업,수도사업관련업,환경부문 투자액,억원,원자료,"3,730.58","3,353.61","2,217.24","3,218.59","3,440.87","3,630.45","3,602.61","3,574.95","3,651.02"
자원관리관련제조업,실내공기질통제기기제조업,투자액,억원,원자료,0,"1,528.71",270.73,292.25,96.17,308.58,322.3,336.59,357.66
자원관리관련제조업,실내공기질통제기기제조업,환경부문 투자액,억원,원자료,0,723.58,251.42,226.14,67.91,235.2,222.31,210.21,217.69
자원관리관련제조업,생물자원관리보전기기제조업,투자액,억원,원자료,0,84.85,95.3,97.38,293.57,100.18,115.12,132.36,129.35
자원관리관련제조업,생물자원관리보전기기제조업,환경부문 투자액,억원,원자료,0,77.28,81.79,82.7,226.7,81.23,88.56,96.54,95.18
자원관리관련제조업,산림관리기기제조업,투자액,억원,원자료,0,985.57,86.9,867.08,99.68,897.56,807.81,727.1,702.58
자원관리관련제조업,산림관리기기제조업,환경부문 투자액,억원,원자료,0,558.98,86.21,627.13,83.54,641.25,625.54,610.17,604.07
자원관리관련제조업,생물다양성및경관보호기기제조업,투자액,억원,원자료,0,309.19,86.76,93.57,887.6,98.15,94.03,90.08,89.21
자원관리관련제조업,생물다양성및경관보호기기제조업,환경부문 투자액,억원,원자료,0,309.19,66.22,66.5,635.97,69.28,64.35,59.77,59.23
자원관리관련제조업,생물다양성및바이오관련제조업,투자액,억원,원자료,0,"2,066.07",679.14,563.86,"6,002.5","1,888.64","1,912.06","1,967.7","1,871.15"
자원관리관련제조업,생물다양성및바이오관련제조업,환경부문 투자액,억원,원자료,0,735.86,617.38,291.11,517.12,932.59,479.92,181.66,423.56
자원관리관련건설업,소계,투자액,억원,원자료,0,"11,969.96","1,153.16","8,390.31","4,853.57","9,458.57","5,045.6","5,066.65","5,110.15"
